Map Key,Point Key,File,Layer,Marker,Stop Number,Is Direction Stop,Point Name,Longitude,Latitude,Altitude
1gHUPcrsaFH_yc2pjp-VaDU1WsEbVJUJf,1gHUPcrsaFH_yc2pjp-VaDU1WsEbVJUJf-P1,2025.EIS.000099.kmz,"Directions from Starlight Sweaters Ltd. (Labib Group to Vogra Bypass school field, Dhaka - Mymensingh Road, Gazipur",A,1,TRUE,Starlight Sweaters Ltd. (Labib Group,90.377246,23.9787795,0
1gHUPcrsaFH_yc2pjp-VaDU1WsEbVJUJf,1gHUPcrsaFH_yc2pjp-VaDU1WsEbVJUJf-P2,2025.EIS.000099.kmz,"Directions from Starlight Sweaters Ltd. (Labib Group to Vogra Bypass school field, Dhaka - Mymensingh Road, Gazipur",B,2,TRUE,"X9HH+766, Gazipur, Bangladesh",90.3780526,23.978176,0
1gHUPcrsaFH_yc2pjp-VaDU1WsEbVJUJf,1gHUPcrsaFH_yc2pjp-VaDU1WsEbVJUJf-P3,2025.EIS.000099.kmz,"Directions from Starlight Sweaters Ltd. (Labib Group to Vogra Bypass school field, Dhaka - Mymensingh Road, Gazipur",C,3,TRUE,"Vogra Bypass school field, Dhaka - Mymensingh Road, Gazipur",90.3805239,23.9772926,0
1jTVvCGwxEVldCc6xBc9xw4wh99_Am7AM,1jTVvCGwxEVldCc6xBc9xw4wh99_Am7AM-P4,2026.EIS.000146.kmz,"Directions from JHVV+6FC, N1, Sonargaon, Bangladesh to ZAHEEN KNITWEARS LTD., Madanpur, N1, Bandar, N1",A,1,TRUE,"JHVV+6FC, N1, Sonargaon, Bangladesh",90.5931739,23.6434408,0
1jTVvCGwxEVldCc6xBc9xw4wh99_Am7AM,1jTVvCGwxEVldCc6xBc9xw4wh99_Am7AM-P5,2026.EIS.000146.kmz,"Directions from JHVV+6FC, N1, Sonargaon, Bangladesh to ZAHEEN KNITWEARS LTD., Madanpur, N1, Bandar, N1",B,2,TRUE,"JHRR+XFH, N1, Sonargaon, Bangladesh",90.5913481,23.6421427,0
1jTVvCGwxEVldCc6xBc9xw4wh99_Am7AM,1jTVvCGwxEVldCc6xBc9xw4wh99_Am7AM-P6,2026.EIS.000146.kmz,"Directions from JHVV+6FC, N1, Sonargaon, Bangladesh to ZAHEEN KNITWEARS LTD., Madanpur, N1, Bandar, N1",C,3,TRUE,"ZAHEEN KNITWEARS LTD., Madanpur, N1, Bandar, N1",90.5495556,23.6874792,0
1vYFbPqg4gcr_UcRMIUWaa-HkWd0JZKBC,1vYFbPqg4gcr_UcRMIUWaa-HkWd0JZKBC-P7,2025.EIS.000112.kmz,"Directions from Taqwa Fabrics Ltd. and Lantabur Apparels Ltd., Mawna to 5CX5+QV9, Mawna, Bangladesh",A,1,TRUE,"Taqwa Fabrics Ltd. and Lantabur Apparels Ltd., Mawna",90.406796,24.1957815,0
1vYFbPqg4gcr_UcRMIUWaa-HkWd0JZKBC,1vYFbPqg4gcr_UcRMIUWaa-HkWd0JZKBC-P8,2025.EIS.000112.kmz,"Directions from Taqwa Fabrics Ltd. and Lantabur Apparels Ltd., Mawna to 5CX5+QV9, Mawna, Bangladesh",B,2,TRUE,"24.198919, 90.408911",90.4088918,24.1989205,0
1vYFbPqg4gcr_UcRMIUWaa-HkWd0JZKBC,1vYFbPqg4gcr_UcRMIUWaa-HkWd0JZKBC-P9,2025.EIS.000112.kmz,"Directions from Taqwa Fabrics Ltd. and Lantabur Apparels Ltd., Mawna to 5CX5+QV9, Mawna, Bangladesh",C,3,TRUE,"5CX5+QV9, Mawna, Bangladesh",90.4088918,24.1989205,0
11nVksis7vf5vuATeV55TT6X7Zk3jU1O7,11nVksis7vf5vuATeV55TT6X7Zk3jU1O7-P10,2025.EIS.000052.kmz,"Directions from Ayet Ali Udayon Academy to ANANTA Casual Wear Ltd., Dhaka - Mymensingh Highway, Netrokona",A,1,TRUE,Ayet Ali Udayon Academy,90.3873673,23.929861,0
